Method,User-Agent,host,content-type,url_domain,url_length,num_params,has_login,user_agent_length,content_type_length,has_suspicious_keywords,body_length,body_has_suspicious,param_entropy,num_param_names,body_special_char_count,requests_per_session,session_duration,mean_time_between_reqs,unique_endpoints,user_agent_changes,session_duration_z,session_duration_outlier,behavior_anomaly_score,behavioral_anomaly_flag,svm_anomaly_score,svm_anomaly_flag,true_label,predicted_label,top_features,top_feature_values
GET,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),api.example.com,application/x-www-form-urlencoded,james.com,53,1,0,54,33,1,165,1,0.9999980000040001,1,47,6,65.85930064512122,5.473179569299246,4,1,0.0,0,0.0,0,0.0,0,benign,malicious,num_params;param_entropy;body_special_char_count,-0.746;-0.294;-0.202
GET,PostmanRuntime/7.29.2,secure.example.com,multipart/form-data,api.example.com,35,0,0,21,19,0,606,1,0.0,0,86,16,19.416668044039252,15.62366303461052,4,1,0.0,0,0.0,0,0.0,0,malicious,benign,num_params;body_special_char_count;mean_time_between_reqs,0.284;0.268;0.147
DELETE,Opera/8.15.(X11; Linux x86_64; wo-SN) Presto/2.9.168 Version/11.00,peterson-harris.info,multipart/form-data,secure.example.com,48,1,0,66,19,1,32,1,0.9999983333361112,1,7,5,84.90202226210565,4.799339481858756,2,1,0.0,0,0.0,0,0.0,0,benign,malicious,num_params;param_entropy;body_special_char_count,-0.736;-0.338;-0.289
GET,curl/7.68.0,richardson-pitts.org,multipart/form-data,internal.local,40,1,0,11,19,0,339,0,0.9999980000040001,1,57,4,79.31347798533312,9.247242502199706,1,2,0.0,0,0.0,0,0.0,0,benign,malicious,num_params;param_entropy;body_special_char_count,-0.814;-0.365;-0.280
PUT,curl/7.68.0,secure.example.com,application/x-www-form-urlencoded,abbott.com,202,1,0,11,33,0,252,0,0.7142846938790088,1,60,1,19.744416228964557,12.840231175436676,1,1,0.0,0,0.0,0,0.0,0,benign,malicious,num_params;param_entropy;requests_per_session,-0.500;-0.175;-0.103
GET,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/52.0.837.0 Mobile/68D853 Safari/533.2",api.example.com,multipart/form-data,secure.example.com,33,0,0,138,19,1,377,1,0.0,0,86,5,1284.9245601800471,47.169042196543664,1,1,0.0,0,0.0,0,0.0,0,malicious,benign,num_params;body_special_char_count;param_entropy,0.322;0.258;0.122
PUT,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),api.example.com,application/json,secure.example.com,34,0,0,54,16,0,538,0,0.0,0,75,61,5.0,0.5,2,1,0.0,0,0.0,0,0.0,0,malicious,benign,num_params;body_special_char_count;param_entropy,0.236;0.216;0.117
GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,secure.example.com,multipart/form-data,secure.example.com,30,0,0,84,19,0,348,1,0.0,0,84,16,956.918439726372,7.158761313442036,7,3,0.0,0,0.0,0,0.0,0,malicious,benign,num_params;body_special_char_count;param_entropy,0.318;0.272;0.138
GET,curl/7.68.0,secure.example.com,multipart/form-data,craig.com,33,1,0,11,19,0,26,0,0.9999983333361112,1,6,8,33.249398357011216,0.6166740744520814,1,1,0.0,0,0.0,0,0.0,0,benign,malicious,num_params;param_entropy;body_special_char_count,-0.668;-0.351;-0.267
GET,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/5.1),internal.local,application/json,api.example.com,32,0,0,63,16,0,384,1,0.0,0,84,3,98.42124547316884,9.19204599379767,9,1,0.0,0,0.0,0,0.0,0,malicious,benign,num_params;body_special_char_count;param_entropy,0.273;0.267;0.127
